"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Feb 10 21:20:11 MSK 2024","Sat Feb 10 21:20:12 MSK 2024","651","tests","test_main_functional","TestMainFunctional","","","Если кликнуть на крестик окна с деталями, тогда окно закроется","Если кликнуть на крестик окна с деталями, тогда окно закроется"
"passed","Sat Feb 10 21:20:15 MSK 2024","Sat Feb 10 21:20:16 MSK 2024","682","tests","test_main_functional","TestMainFunctional","","","Если кликнуть на крестик окна с деталями, тогда окно закроется","Если кликнуть на крестик окна с деталями, тогда окно закроется"
"passed","Sat Feb 10 21:23:08 MSK 2024","Sat Feb 10 21:23:08 MSK 2024","71","tests","test_recover_password","TestRecoverPassword","","","Проверка, что кнопка ""Восстановить пароль"" открывает страницу восстановления пароля","Проверка, что кнопка ""Восстановить пароль"" открывает страницу восстановления пароля"
"passed","Sat Feb 10 21:20:07 MSK 2024","Sat Feb 10 21:20:07 MSK 2024","80","tests","test_main_functional","TestMainFunctional","","","Если кликнуть на ингредиент, появится всплывающее окно с деталями","Если кликнуть на ингредиент, появится всплывающее окно с деталями"
"passed","Sat Feb 10 21:22:50 MSK 2024","Sat Feb 10 21:22:55 MSK 2024","5116","tests","test_orders_feed","TestOrdersFeed","","","После оформления заказа его номер появляется в разделе В работе","После оформления заказа его номер появляется в разделе В работе"
"passed","Sat Feb 10 21:19:49 MSK 2024","Sat Feb 10 21:19:49 MSK 2024","92","tests","test_main_functional","TestMainFunctional","","","Переход по клику на ""Конструктор"" открывает страницу с конструктором","Переход по клику на ""Конструктор"" открывает страницу с конструктором"
"passed","Sat Feb 10 21:19:28 MSK 2024","Sat Feb 10 21:19:29 MSK 2024","607","tests","test_account","TestAccount","","","Кнопка ""История заказов"" открывает страницу истории заказов","Кнопка ""История заказов"" открывает страницу истории заказов"
"passed","Sat Feb 10 21:23:16 MSK 2024","Sat Feb 10 21:23:17 MSK 2024","1204","tests","test_recover_password","TestRecoverPassword","","","Проверка, что кнопка ""Восстановить"" открывает страницу ввода нового пароля","Проверка, что кнопка ""Восстановить"" открывает страницу ввода нового пароля"
"passed","Sat Feb 10 21:23:26 MSK 2024","Sat Feb 10 21:23:27 MSK 2024","1277","tests","test_recover_password","TestRecoverPassword","","","Проверка, что клик по иконке ""Показать/Скрыть пароль"" активирует поле ввода пароля","Проверка, что клик по иконке ""Показать/Скрыть пароль"" активирует поле ввода пароля"
"passed","Sat Feb 10 21:20:53 MSK 2024","Sat Feb 10 21:20:53 MSK 2024","103","tests","test_orders_feed","TestOrdersFeed","","","Если кликнуть на заказ, откроется всплывающее окно с деталями","Если кликнуть на заказ, откроется всплывающее окно с деталями"
"passed","Sat Feb 10 21:19:53 MSK 2024","Sat Feb 10 21:19:54 MSK 2024","1145","tests","test_main_functional","TestMainFunctional","","","Переход по клику на ""Лента заказов"" открывает страницу с лентой заказов","Переход по клику на ""Лента заказов"" открывает страницу с лентой заказов"
"passed","Sat Feb 10 21:21:50 MSK 2024","Sat Feb 10 21:21:53 MSK 2024","3181","tests","test_orders_feed","TestOrdersFeed","","","При создании нового заказа счётчик Выполнено за всё время увеличивается","При создании нового заказа счётчик Выполнено за всё время увеличивается"
"failed","Sat Feb 10 21:20:20 MSK 2024","Sat Feb 10 21:20:26 MSK 2024","5821","tests","test_main_functional","TestMainFunctional","","","При добавлении ингредиента в заказ счётчик этого ингредиента увеличивается","При добавлении ингредиента в заказ счётчик этого ингредиента увеличивается"
"passed","Sat Feb 10 21:20:33 MSK 2024","Sat Feb 10 21:20:33 MSK 2024","682","tests","test_main_functional","TestMainFunctional","","","При добавлении ингредиента в заказ счётчик этого ингредиента увеличивается","При добавлении ингредиента в заказ счётчик этого ингредиента увеличивается"
"passed","Sat Feb 10 21:20:44 MSK 2024","Sat Feb 10 21:20:45 MSK 2024","608","tests","test_main_functional","TestMainFunctional","","","Залогиненный пользователь может оформить заказ","Залогиненный пользователь может оформить заказ"
